Date,BEDOK CANAL (mm),BEDOK RESERVOIR (mm),EAST COAST LAGOON (mm),GEYLANG RIVER (mm),JURONG LAKE (mm),KALLANG BASIN (mm),KALLANG RIVER (mm),KRANJI RESERVOIR (mm),LAKE LITTLE GUILIN (mm),LOWER PEIRCE RESERVOIR (mm),LOWER SELETAR RESERVOIR (mm),MACRITCHIE RESERVOIR (mm),MARINA BAY (mm),MURAI RESERVOIR (mm),PANDAN RESERVOIR (mm),PELTON CANAL (mm),POYAN RESERVOIR (mm),ROCHOR CANAL (mm),ROCHOR RIVER (mm),SARIMBUN RESERVOIR (mm),SIGLAP CANAL (mm),SINGAPORE RIVER (mm),SUNGEI API API (mm),SUNGEI BEDOK (mm),SUNGEI BERIH (mm),SUNGEI BULOH WETLAND RESERVE (mm),SUNGEI CHANGI (mm),SUNGEI HALUS (mm),SUNGEI JURONG (mm),SUNGEI KANGKAR (mm),SUNGEI KETAPANG (mm),SUNGEI KHATIB BONGSU (mm),SUNGEI LANCHAR (mm),SUNGEI LOYANG (mm),SUNGEI MANDAI (mm),SUNGEI MANDAI KECHIL (mm),SUNGEI PANDAN (mm),SUNGEI PANG SUA (mm),SUNGEI PENG SIANG (mm),SUNGEI PINANG (mm),SUNGEI PUNGGOL (mm),SUNGEI SELARANG (mm),SUNGEI SELETAR (mm),SUNGEI SEMBAWANG (mm),SUNGEI SERANGOON (mm),SUNGEI SIMPANG (mm),SUNGEI TAMPINES (mm),SUNGEI TENGAH (mm),SUNGEI THO PEK KONG (mm),SUNGEI ULU PANDAN (mm),SUNGEI WHAMPOA (mm),TAMPINES QUARRY PARK (mm),TENGEH RESERVOIR (mm),ULU PANDAN CANAL (mm),UPPER PEIRCE RESERVOIR (mm),UPPER SELETAR RESERVOIR (mm),YISHUN POND (mm)
18/1/2015,0,0,0,0.551676452,0.132561386,0.247582063,0.031246787,0,0.031695556,0.854150116,0.027378628,0.889305115,0.00554548,0,0.53820926,0.082364403,0.014981871,0.020069122,0.273617953,0,0.001327515,0.000287737,0,0,0.008729823,0,0,0,0.235661969,0,0,0.000658537,0.776662171,0,0,0,0.453520268,0,0,0,0,0,0.573319852,1.37235105,0,0.000106008,0,0.487782955,0.031219482,1.363997579,0.067141727,0,0.00169754,6.031707764,3.058975697,0.558846593,0.063262939
19/1/2015,0.078277588,0.062156882,0.007054379,0,0,0,0,0,0,0.006763458,0,0.007787704,0,0.228738785,0.039874643,0,0.794617236,0,0,0.123723939,0.01083374,0,0.183524758,0.004156815,0.364604264,0,0.000387573,0.019023694,0.002193778,0,0.000117861,0,0.00213623,0.024726281,0,0,0.035484679,0,0,0,0,1.74E-05,9.16E-05,0,0,0,0.133037373,0,0.170669556,0.010173596,0,0.042040143,1.350666046,0.035463031,0.070127957,0.021373931,0
20/1/2015,0,0.001131625,0,0.00293986,1.863851547,0,0,2.860399008,0.330694586,0.762021363,0.239174351,0.09700489,0.000459217,1.227594376,1.34812212,0.00697581,0.268489122,0,0,0.074833363,0.013019562,0.002179827,0,0,1.685634851,0,0,0,1.789341569,1.017747164,0.000109442,0,9.867619514,0,0.046806782,0,1.377429724,1.499594331,7.815537453,0.368488759,0.00076633,0,0.498626709,0,0.393648148,0,0,11.21133232,1.24701798,2.839281559,0,0.004638672,0.000846863,1.452583671,0.378485471,5.633475304,0
21/1/2015,0.036383055,0.198347762,0.683632314,4.731130123,22.18903923,23.5462513,12.28673077,12.11759663,15.71104431,6.88514328,0.213301674,8.49898243,25.24518967,3.421480179,22.94649315,7.422223568,0.31123805,28.51855469,23.94400978,30.04048729,0.241809845,33.2477417,1.481713295,0.121103384,0.191434979,92.03065491,1.756936669,0.577032804,22.78169632,16.53349495,0.181548014,0.004818565,15.40287781,3.760394812,7.723184109,19.0365696,30.62106133,11.20174599,10.43504047,21.24677277,5.07217741,1.18105638,3.44182229,15.81501198,23.68226624,0,1.235852718,9.285104752,0.143426076,38.44302368,15.54575539,1.585148454,1.930981636,17.3523407,20.75356102,2.437668562,0.031015014
22/1/2015,0.217834473,0.243385106,0.156844288,2.026448488,31.88521194,21.15093231,17.51221275,0.001618562,7.155581474,0.042518616,0,0.043458939,11.95450306,0.997861862,64.61032867,3.467982054,13.83198166,13.21802521,21.68131065,0.756367505,0.277095795,7.416608334,0.166687012,0.13756682,4.07700491,0.030538809,0.2283905,0.09290193,48.86471939,0.016492013,0.085175611,0,12.74064159,0.167961702,0.001723346,0.001235962,58.59640121,0.21879667,0.171606764,0.124926761,0.009555393,0.153433666,0.003151634,0,0.233234406,0,0.175909743,0.24372977,2.273860455,39.3793335,19.04907799,0.229614258,12.27931881,26.15379906,1.825816393,3.821129322,0
23/1/2015,0,0,0,0.026024712,3.297464371,0.37738508,0.312185198,0.056887027,0.018429566,0.259975433,0,0.594608307,0.211745486,0,0.378084153,0.205479935,0.016671075,0.236209869,0.39102307,0,0,0.115681969,0,0,0,0,0,0,2.271339655,0.067168407,0,0,4.500971317,0,0,0,0.001732236,0.055261947,0.93833524,0.017412109,0.001590305,0,0,0,0.003881454,0,0,1.21059227,0.000518799,0,0.340103149,0,0.007990837,0.677996159,0.280576468,1.959016323,0
24/1/2015,0,0,0,0,22.79820824,0.000133808,0,2.420656443,10.39695168,4.788354397,0.865660369,4.952697754,0.016136533,6.423301697,13.20708466,0,16.62680244,0,0,1.573039889,0,0.115434922,0,0.002691972,11.96080494,0.174056336,1.615518212,0,25.22887039,5.988592625,0.004817568,0.512595713,30.85452271,0.054581862,3.84768486,0.455233753,7.199314594,13.32639122,17.93303299,0,0,0.449922115,1.458754063,0.000848389,0,0.459368259,0.000118858,26.98207664,10.60344124,3.948515177,0,0,11.15590477,4.078401089,2.633011341,26.86863518,0.611480713
25/1/2015,5.373376369,3.215803862,2.743874073,1.121697307,19.10602951,0.463111281,0.766665816,86.75904083,27.02053452,2.671845675,0.601795435,1.860489845,0.528343558,77.33133698,10.57159805,0.749020875,23.04123497,0.47567749,0.543467641,86.24793243,1.764263153,0.487255275,6.865972042,5.14426136,56.1282959,134.1540985,7.964785576,10.14121628,14.81814003,121.9397888,6.88188839,3.822506666,7.588951111,6.093585491,66.68204498,50.88085556,10.73705482,39.84028625,72.62151337,3.26006341,0.733615458,7.266023159,5.306765556,9.500005722,3.462509155,4.528790951,3.78657937,71.84163666,46.06649399,7.503051758,0.72996825,1.723907471,8.894018173,3.434409618,7.895833969,10.24887276,3.92337656
26/1/2015,0,0,0,0,0.41552037,0,0,0.708150208,0.847805798,0,0,3.53E-05,0,1.535083771,0.114850722,0,0.801460564,0,0,2.54590416,0,0.000395275,0,0,2.214649916,2.617481947,0,0,0.591868401,2.603814602,0,0,0.753911316,0,0.060044233,0.032373048,0.030703589,1.052906752,1.700959802,0,0,0,0,0.037649535,0,0.001779657,0,1.410440445,1.406816721,0.022589432,0,0,2.075603485,0.000327662,0.005355296,1.036528111,0.000241089
27/1/2015,0,0,0,0,0,0,0,0,0,0,0.049736179,0,0.000462123,0.000385284,1.12E-05,0,0.004540337,0,0,0,0,0,0.000713846,0,0.001621022,0.001873514,0,0,5.23E-05,0.017931815,0,0.009087813,0,8.69E-05,0,0,0,0,0.001177336,0,0,0,0.023010254,0,0,0,0.00104081,0.006240162,0.001937866,0,0,0,0.002332687,0,0,0,0.04941101
