Date,BEDOK CANAL,BEDOK RESERVOIR,EAST COAST LAGOON,GEYLANG RIVER,JURONG LAKE,KALLANG BASIN,KALLANG RIVER,KRANJI RESERVOIR,LAKE LITTLE GUILIN,LOWER PEIRCE RESERVOIR,LOWER SELETAR RESERVOIR,MACRITCHIE RESERVOIR,MARINA BAY,MURAI RESERVOIR,PANDAN RESERVOIR,PELTON CANAL,POYAN RESERVOIR,ROCHOR CANAL,ROCHOR RIVER,SARIMBUN RESERVOIR,SIGLAP CANAL,SINGAPORE RIVER,SUNGEI API API,SUNGEI BEDOK,SUNGEI BERIH,SUNGEI BULOH WETLAND RESERVE,SUNGEI CHANGI,SUNGEI HALUS,SUNGEI JURONG,SUNGEI KANGKAR,SUNGEI KETAPANG,SUNGEI KHATIB BONGSU,SUNGEI LANCHAR,SUNGEI LOYANG,SUNGEI MANDAI,SUNGEI MANDAI KECHIL,SUNGEI PANDAN,SUNGEI PANG SUA,SUNGEI PENG SIANG,SUNGEI PINANG,SUNGEI PUNGGOL,SUNGEI SELARANG,SUNGEI SELETAR,SUNGEI SEMBAWANG,SUNGEI SERANGOON,SUNGEI SIMPANG,SUNGEI TAMPINES,SUNGEI TENGAH,SUNGEI THO PEK KONG,SUNGEI ULU PANDAN,SUNGEI WHAMPOA,TAMPINES QUARRY PARK,TENGEH RESERVOIR,ULU PANDAN CANAL,UPPER PEIRCE RESERVOIR,UPPER SELETAR RESERVOIR,YISHUN POND
Jan 2015,1.103826986,1.155599792,1.038297086,0.257772433,0.806581181,0.555019569,0.480609053,0.870395752,0.955257013,0.763028908,0.615751919,0.617149734,0.673615993,0.72097992,0.523225472,0.412068247,0.902912621,0.519058577,0.432850854,0.41758517,0.671000708,0.633370453,-0.09632559,0.917415877,1.172523227,1.245507966,-0.255270076,0.093429588,0.644891107,0.944048048,0.757140782,0.549911935,0.624715089,-0.021853394,1.06893119,1.017470614,0.49308152,0.758747588,0.824668928,0.928434605,0.848809168,-0.109282314,0.391882048,-0.116017222,0.996670036,0.356558419,0.12602814,0.887659035,1.180721897,0.538599339,0.420177595,1.166430013,0.525084599,0.319941889,0.575659138,0.729927811,0.334572395
Feb 2015,-0.885879665,-0.568110053,-0.391675127,-0.410887512,-1.134401001,0.085741003,-0.36956693,-1.48281843,-1.230538471,-1.194931016,-1.357563138,-1.243313746,0.610772927,-1.366152191,-1.16272843,-0.540733319,-0.301050045,-0.026872496,-0.081381439,-1.405349088,-0.445689962,0.557501573,-0.739416571,-1.016709757,-0.294539873,-1.583735268,-1.476167691,-1.266316656,-1.136494101,-1.423785319,-0.860236098,-1.665153087,-1.14404834,-0.92274082,-1.003007951,-0.885450491,-1.123429179,-1.302617322,-1.716119068,-1.53451626,-1.53528124,-1.262053301,-1.410962373,-2.055022156,-1.341188159,-1.724716825,-0.672312972,-1.787645637,-0.203473609,-1.038070777,-0.29888718,-0.444306473,0.017142994,-1.318505926,-1.269860543,-1.071134752,-1.477824733
Mar 2015,-0.189970129,-0.28798603,0.450330846,-0.148616471,-0.113086473,-0.087889124,-0.38937009,0.384216231,-0.595932105,-0.655906625,0.07241588,-0.517069723,0.476235819,0.154597591,-0.162122367,-0.348058776,0.456225697,-0.372829093,-0.355018025,0.097535047,0.008013941,0.477805056,-0.376769845,-0.11858619,0.514181981,0.163231411,-0.698791227,-0.361428287,0.257503907,0.612680632,-0.035574237,0.377673239,0.304085321,-0.417532607,0.028743409,-0.064671318,-0.433930311,-0.439489532,0.322919399,0.11364787,0.044150761,-0.57034309,-0.431963572,-0.063498553,0.042292911,0.472108736,-0.407710786,0.354691285,0.553179699,-0.702394744,-0.544428403,-0.41060747,0.68612564,-0.636916034,-0.838227477,0.063733065,0.116972226
Apr 2015,-0.452325375,-0.538968491,-0.386659541,-0.419792018,-0.447089185,-0.066052453,0.17655961,0.091976345,-0.420821545,1.092750481,-0.356957595,0.100148635,0.068330314,0.789937903,0.102993137,-0.016326634,0.62190909,0.157583105,-0.078316946,0.803878645,-0.526730053,0.1242822,-1.150445284,-0.575499366,0.741245094,1.01728596,-0.903527501,-1.448650874,-0.284736157,0.815585485,-0.434403674,-0.730269738,-0.698338209,-0.841328863,-0.734774073,-0.766718348,0.193320969,0.768986162,0.97419046,0.660136489,0.314102738,-0.970870039,-0.688981831,-1.320183402,0.542404844,-0.803974783,-0.679810827,0.804494229,0.877199392,0.059593852,0.13005673,-0.761685571,0.135297262,-0.442882175,0.591951249,-0.409664957,-0.755634687
May 2015,-0.250916342,-0.19748228,-0.884129841,-0.485993588,-0.421453288,-0.512223421,-0.456799952,-0.03168705,0.413486135,0.372876393,0.149347303,0.236842575,-0.169830087,-0.466036614,-1.381972416,-0.336117242,-0.421636003,-0.443827993,-0.572114549,-0.258563275,-0.176613796,-0.314644423,0.131056811,-0.327431016,-0.569295532,-0.663584066,-0.466045056,-0.055725169,-1.155603152,-1.16223234,-0.459750408,0.131082165,-0.555909258,0.257378732,0.309005244,-0.371338655,-1.493064156,0.605916586,-0.217421264,-1.371355094,-2.198388161,0.262943919,0.644928201,1.627493613,-1.288638481,1.151027426,0.244385568,-0.158038658,-0.625229002,-1.151761514,-0.379815328,-0.386670631,-0.846454989,-0.463289404,0.15869571,0.404192866,0.271875813
Jun 2015,-1.526617161,-1.409346015,-1.631189267,-1.33369101,-0.150675329,-0.918116469,-0.720295404,-0.227421612,0.098335769,-0.29571217,0.544334362,0.017481284,-0.173149628,0.489082118,0.552709802,-1.114634638,-0.444746753,-0.498682149,-0.93382012,0.348697978,-1.366527345,0.100891575,-0.683730991,-1.424272481,-0.454049547,0.542033137,-0.274693735,-0.192193235,0.237310416,0.41097502,-0.999533668,0.705520518,-0.809541803,-1.055706872,-1.122687898,-1.103878939,0.623998139,-0.708370265,-0.507180615,-0.423780038,-0.006030129,-0.963996059,0.056626233,-0.725837813,-0.50262899,0.401328157,-1.219116211,-0.543658241,-0.585212145,0.561984482,-0.742055401,-1.293615872,-0.153254689,0.489758569,-0.02124074,-0.811346511,0.593603727
Jul 2015,1.743818444,1.571874237,1.618790755,1.448077845,1.039700387,1.76153146,1.131124602,1.685791437,1.085094898,1.178276847,1.533696439,1.045507173,1.548794867,0.194445372,0.798847805,1.139156131,-0.494672567,1.545880879,1.600364538,0.935698463,1.451669139,1.400606866,1.911292227,1.903574459,-0.459169387,1.746220797,1.780469579,1.734566617,0.893634074,0.891932324,1.873519045,1.581039369,0.830289121,1.886358249,2.086354267,1.715527421,0.804096516,1.132747651,0.882901214,1.059055511,0.942237439,2.008451694,1.916845904,2.45050947,1.02760076,1.487063021,1.793320929,0.300421087,-0.788685317,0.912198794,1.224456748,1.538634957,-0.097390988,0.734010272,1.686001454,0.640818619,1.929688685
Aug 2015,-0.028061781,-0.153703425,0.693513651,-0.142040883,-0.207420419,0.233014986,-0.467671768,0.028041239,-0.526721038,-0.257293627,0.313868206,-0.325659933,0.67001451,0.006112076,-0.47275871,-0.626769783,-0.425034912,0.060113676,-0.056037578,-0.34799457,-0.015897012,0.619106251,-0.128859612,-0.01770836,-0.761902055,-0.588387849,-0.428233205,0.021380933,-0.213047126,-0.307377987,-0.04267576,0.260027786,0.108869625,-0.372956064,0.927993839,0.66110171,-0.465903,-0.659825288,-0.335638751,-0.110701152,0.122562368,-0.370685321,0.50707987,0.732404746,-0.153743934,0.258093836,-0.294852008,-0.312536308,-0.946530508,-0.390913698,-0.38532778,-0.195231791,0.084517394,-0.591773187,-0.183986349,-0.100949561,0.296889076
Sep 2015,-1.775738705,-1.588018866,-1.375260359,-0.557167254,-1.514960141,-0.896955093,-1.136535575,-0.697534333,-1.748082586,-1.748638747,-2.737283816,-1.340836903,-0.932012545,-1.46444538,-1.413830824,-0.88089377,0.020195875,-1.047252474,-0.925883124,-1.048300575,-1.048007564,-1.039565929,-1.779415893,-1.544320169,-0.218738838,-2.270088782,-1.937406836,-1.907882667,-1.407797887,-1.528093112,-1.321558988,-2.747211689,-1.453029656,-1.819737408,-1.998299613,-1.768280264,-1.460304692,-1.152400672,-1.170987742,-1.770863758,-2.443943196,-1.85138393,-2.55471259,-1.958448154,-1.540033119,-2.194192624,-1.922428134,-0.866159013,0.071670721,-1.528154827,-1.034558019,-1.543228567,-0.42249445,-1.728487069,-2.005295305,-1.519565397,-2.819263924
Oct 2015,-1.03018791,-0.477863915,-1.696982972,-0.368064469,0.456499444,-0.410375715,0.276354498,0.086742969,0.434513553,-0.273938888,-0.594564147,0.421732968,-1.091480615,0.050555126,0.054561633,0.095982886,0.578009132,0.171113508,-0.022878601,0.285008769,-0.335109663,-0.634027482,-1.605697561,-1.671128748,0.778495665,0.543102888,-1.267339833,-1.386235866,0.242707203,-0.253972407,-1.651825028,-1.515530974,0.512499045,-1.504139193,0.338876117,0.826256054,0.001606742,0.005365868,0.001487653,-1.460383374,-1.384797895,-1.402810746,0.085831789,-0.107612538,-1.302183942,-1.228058411,-1.594977862,0.172857492,0.902240356,0.034784803,0.250834857,-0.624454617,0.072281417,-0.04544441,0.248086126,0.564345384,-1.083653344
